X1,X2
2.248357077,1.930867849
2.323844269,2.761514928
1.882923313,1.882931522
2.789606408,2.383717365
1.765262807,2.271280022
1.768291154,1.767135123
2.120981136,1.043359878
1.137541084,1.718856235
1.49358444,2.157123666
1.545987962,1.293848149
2.732824384,1.88711185
2.033764102,1.287625907
1.727808638,2.055461295
1.424503211,2.187849009
1.699680655,1.854153125
1.699146694,2.926139092
1.993251388,1.471144536
2.411272456,1.389578175
2.104431798,1.020164938
1.335906976,2.098430618
2.36923329,2.085684141
1.942175859,1.849448152
1.260739005,1.640077896
1.769680615,2.528561113
2.171809145,1.118479922
2.162041985,1.80745886
1.661539,2.305838144
2.515499761,2.46564006
1.580391238,1.845393812
2.165631716,2.487772564
1.760412881,1.907170512
1.446832513,1.401896688
2.406262911,2.678120014
1.963994939,2.501766449
2.180818013,1.677440123
2.180697803,2.769018283
1.98208698,2.782321828
0.690127448,2.410951252
2.043523534,1.850496325
2.045880388,1.006215543
1.890164056,2.178556286
2.738947022,1.740864891
1.595753199,1.749121478
2.457701059,2.164375555
1.735119898,2.256633717
2.048538775,2.484322495
1.648973453,1.836168927
1.803945923,1.268242526
2.148060139,2.130527636
2.002556728,1.882706433
1.292314629,1.789677339
1.828642742,1.598861365
1.919357144,2.202025428
2.943092951,2.087288906
2.128775195,1.962777042
1.040614392,1.986743062
2.030115105,3.231621056
1.903819518,2.150773671
1.982644115,1.415660981
2.571411407,2.375966516
2.395515974,1.545306273
2.701397155,1.299074469
2.293428547,3.095227813
1.504731837,1.716851135
2.049825683,1.748262173
1.224668284,2.034281487
1.468848143,2.236796215
1.540287883,2.774967203
1.608373354,1.838969242
2.406758609,1.384567842
2.113729967,2.653571377
1.196258383,2.092316929
2.129941397,2.390911436
1.381524645,1.339771693
2.260970783,2.148492337
2.125246425,2.173224105
1.659987639,2.116126849
2.146536237,1.642824291
2.932887256,2.23691646
1.404348251,2.328276804
1.512659165,2.393542302
2.57929779,1.589658841
2.481688065,2.206390463
2.41103008,2.948396491
1.877305942,1.623131918
1.555242785,1.592094858
1.961449145,2.170575987
2.1383454,2.413591625
2.006500946,2.726767039
1.867671583,3.360084583
2.312833674,1.571421222
1.464553751,2.241236208
1.888268607,2.357000247
2.236618812,1.963585544
1.576603141,1.242576388
1.776742524,2.428199397
2.107046872,1.377130611
2.086590463,2.19265869
1.558071282,2.076862553
2.029104359,1.428514851
2.17889368,2.280392263
2.541525622,2.526901026
1.311165316,1.53108748
2.257517634,2.256892975
2.257523843,3.926365745
2.285445255,2.56778282
2.477000882,2.325695626
1.842365378,2.37948461
1.613587393,1.881590697
1.757318226,2.04093707
3.157329283,1.066367404
2.343130095,1.193642064
1.764034067,2.544475298
2.03214001,1.461127611
1.642348145,2.339798874
1.634816684,2.108229295
2.02278592,1.674199826
3.071972045,2.316959511
0.987428707,2.093227157
1.669106768,2.426216667
1.603739631,1.942631779
2.252493639,2.432877597
1.399851796,1.832749382
1.762527344,1.673335384
2.88272712,2.202490855
1.369558023,2.458930974
3.061078099,2.51623263
1.240315017,1.757882964
2.633455575,1.646165267
2.221909714,2.387317027
1.536534764,1.970237322
0.37936633,1.487806179
1.873715924,1.376108409
2.816205652,1.284929311
1.779977757,2.065370289
2.720636645,1.282068924
2.581581876,2.005116531
1.509245674,2.231051737
2.099529848,1.699891561
2.034901042,1.807343202
2.056758673,2.331065337
2.793008408,1.381092251
3.066516687,1.0239561
1.924107452,2.294158603
2.140495934,1.68865024
1.895938875,1.753499533
1.705317622,2.424801049
2.178507743,1.653545202
2.449799938,2.15364976
2.406431059,2.314814421
6.502602993,1.663891376
7.448376163,2.366222159
6.987459044,2.07039643
7.766598937,1.645057167
7.328258429,1.878684409
6.869391278,2.659266111
7.495249809,2.488105782
7.783287284,2.012602305
7.409171783,1.813839946
7.194499811,1.921914167
7.058197579,2.357094215
6.50906759,3.255432365
6.396389571,1.271486832
7.694866524,2.474997616
7.37447189,2.377007306
6.992651936,1.461647377
7.045482735,1.593702973
7.58507184,1.911765571
6.504701682,1.807168495
7.247758873,1.661765268
6.506667763,2.146212327
7.146979943,1.695834095
6.717377017,2.139229962
6.131149395,1.155521735
6.568933467,1.871931709
7.186544539,2.88521373
7.514595774,1.904036882
6.988590275,1.398482381
6.988892118,1.826804817
7.193631136,1.503661434
7.311607909,2.919643348
6.934743911,2.241027033
7.414086395,1.759267717
7.134455489,2.00755544
7.058605659,1.53619413
7.014706105,2.298798975
7.870686165,2.575562496
8.291909475,1.539591462
7.523392382,2.110005203
8.31388176,1.515021029
6.496166895,1.640364413
5.725662565,1.684546987
6.544520403,2.090236272
7.205053585,3.125702504
7.570254303,1.653857807
6.460951197,2.295151503
6.207860076,3.09887526
7.707664072,1.718494609
5.972119283,2.812323424
6.931276093,2.742689787
6.043343405,1.640374986
7.00314622,2.028188356
6.729960717,2.373709959
6.359427742,1.914572309
7.072177379,2.3086633
7.426968927,1.325214745
6.079531498,2.766606093
7.199388407,1.550908078
7.930691185,2.069404781
7.70757831,2.040511089
8.236448755,3.053204505
6.850621511,2.582942571
7.38722557,2.821178935
6.421045924,2.411630876
7.635054692,0.944756308
6.290044892,0.776460693
6.838355899,2.430525353
7.901414231,2.044456868
7.977169327,1.171939125
5.977970536,1.966671381
7.230439269,1.980383151
5.75953474,1.946527976
6.2173183,2.401803529
7.219958948,1.436072128
6.69167985,1.364471887
6.962392542,2.573085392
6.408564372,2.302427909
6.681845429,1.524276301
6.935781784,1.378854607
6.667810417,1.281273264
8.17883508,2.021158131
6.580164695,2.128387946
6.93260317,1.86741824
7.36850002,2.454504626
6.681699311,1.654509056
6.834968982,0.618847301
6.090885363,2.82012456
7.986980628,1.850578376
7.345934178,2.186750093
8.847328485,2.671744947
6.923249445,1.426675736
6.036132208,2.122078182
6.546189553,1.146647774
6.612056269,1.351071198
8.012284981,2.528983854
6.995216415,2.887966483
7.046420985,1.483229479
7.913874446,2.323346026
6.377652307,1.885796793
6.474629048,1.170320161
7.555706529,3.145649984
6.160859456,2.337781542
6.609614459,1.70772477
6.644563645,1.481605538
7.029112977,1.50142993
7.162274095,1.969857134
6.856631172,1.455461803
6.653937202,2.453234735
7.300550313,1.413466853
7.059599383,2.450832274
5.998356831,2.326016115
6.602425745,2.342359201
6.542044506,0.91707074
6.023474537,2.028850968
7.155833501,1.457410025
7.383155475,1.003087963
6.960352121,1.27339028
6.608898335,2.028439203
6.483751981,1.769266673
7.603775686,1.653864878
7.501415267,1.322175887
7.317882507,2.864941172
5.5170133,1.521862847
7.346243276,1.878172768
7.222687524,1.637608888
7.051953872,1.906593659
